Border,Date,Measure,Value,Average
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,12388647,9171344
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,6327597,4530893
US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,4319416,1880396
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,3878052,9171344
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,2005044,4530893
US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,469397,461058
US-Canada Border,12/01/2018 12:00:00 AM,Trucks,410534,461058
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,321593,336981
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,277418,336981
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,174518,74431
US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,163284,248371
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,147782,119185
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,136378,119185
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,90296,248371
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,58295,41561
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,52383,41561
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Full,40776,74431
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,20703,1880396
US-Mexico Border,12/01/2018 12:00:00 AM,Buses,14129,15121
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,12838,11254
US-Canada Border,12/01/2018 12:00:00 AM,Buses,4082,15121
US-Canada Border,12/01/2018 12:00:00 AM,Trains,1996,1608
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,970,1608
US-Mexico Border,12/01/2018 12:00:00 AM,Train Passengers,870,11254
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,12939220,9224730
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicles,6604570,4541551
US-Mexico Border,12/01/2017 12:00:00 AM,Pedestrians,4084983,1877419
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,3918120,9224730
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicles,2033658,4541551
US-Mexico Border,12/01/2017 12:00:00 AM,Trucks,465722,458574
US-Canada Border,12/01/2017 12:00:00 AM,Trucks,415723,458574
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Full,320329,335134
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Full,303972,335134
US-Mexico Border,12/01/2017 12:00:00 AM,Bus Passengers,153202,253731
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Full,144333,73228
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Empty,142113,117935
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Empty,119996,117935
US-Canada Border,12/01/2017 12:00:00 AM,Bus Passengers,101295,253731
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Empty,58486,40780
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Empty,43734,40780
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Full,39599,73228
US-Canada Border,12/01/2017 12:00:00 AM,Pedestrians,16585,1877419
US-Mexico Border,12/01/2017 12:00:00 AM,Buses,14483,15398
US-Canada Border,12/01/2017 12:00:00 AM,Train Passengers,13308,11184
US-Canada Border,12/01/2017 12:00:00 AM,Buses,4199,15398
US-Canada Border,12/01/2017 12:00:00 AM,Trains,1778,1617
US-Mexico Border,12/01/2017 12:00:00 AM,Train Passengers,1011,11184
US-Mexico Border,12/01/2017 12:00:00 AM,Trains,918,1617
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,12651731,9293433
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicles,6538225,4554507
US-Mexico Border,12/01/2016 12:00:00 AM,Pedestrians,3742732,1883179
US-Canada Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,3661312,9293433
US-Canada Border,12/01/2016 12:00:00 AM,Personal Vehicles,2001120,4554507
US-Mexico Border,12/01/2016 12:00:00 AM,Trucks,471027,456379
US-Canada Border,12/01/2016 12:00:00 AM,Trucks,429874,456379
US-Canada Border,12/01/2016 12:00:00 AM,Truck Containers Full,340124,332687
US-Mexico Border,12/01/2016 12:00:00 AM,Truck Containers Full,315173,332687
US-Mexico Border,12/01/2016 12:00:00 AM,Bus Passengers,156361,259794
US-Mexico Border,12/01/2016 12:00:00 AM,Truck Containers Empty,153526,115758
US-Canada Border,12/01/2016 12:00:00 AM,Rail Containers Full,128793,72147
US-Canada Border,12/01/2016 12:00:00 AM,Bus Passengers,104876,259794
US-Canada Border,12/01/2016 12:00:00 AM,Truck Containers Empty,82752,115758
US-Canada Border,12/01/2016 12:00:00 AM,Rail Containers Empty,48508,39992
US-Mexico Border,12/01/2016 12:00:00 AM,Rail Containers Full,40121,72147
US-Mexico Border,12/01/2016 12:00:00 AM,Rail Containers Empty,38259,39992
US-Mexico Border,12/01/2016 12:00:00 AM,Buses,16056,15670
